provincia,canton,latitud,longitud,AÑO,ASESINATO,FEMICIDIO,HOMICIDIO,SICARIATO,TOTAL
MORONA SANTIAGO,MORONA SANTIAGO,-2.9452840978496315,-77.83758519713284,2021.0,0.0,0.0,0.0,0.0,0.0
NAPO,NAPO,-0.9129372283785906,-77.81396940450479,2021.0,1.0,0.0,0.0,0.0,1.0
NAPO,NAPO,-1.165593508653796,-77.85603797820507,2021.0,1.0,0.0,0.0,0.0,1.0
NAPO,NAPO,-0.3387261256683931,-77.81102453422453,2021.0,0.0,0.0,0.0,0.0,0.0
NAPO,NAPO,-0.5122838306440642,-78.02053424085875,2021.0,0.0,0.0,1.0,0.0,1.0
NAPO,NAPO,-0.9984845566159158,-77.81651997548789,2021.0,1.0,0.0,1.0,0.0,2.0
ORELLANA,ORELLANA,-1.1667173457594306,-76.08652266101255,2021.0,0.0,0.0,0.0,0.0,0.0
ORELLANA,ORELLANA,-0.3057379150107256,-76.86294005334763,2021.0,1.0,0.0,0.0,0.0,1.0
PASTAZA,PASTAZA,-1.2435291756710094,-77.684267234228,2021.0,0.0,0.0,0.0,0.0,0.0
PASTAZA,PASTAZA,-1.6281689439596088,-78.18969562527947,2021.0,6.0,1.0,0.0,0.0,7.0
PASTAZA,PASTAZA,-1.267389677554544,-77.88820410340607,2021.0,1.0,0.0,0.0,0.0,1.0
PICHINCHA,PICHINCHA,0.0381597233035107,-78.15171423559532,2021.0,2.0,1.0,1.0,0.0,4.0
PICHINCHA,PICHINCHA,-0.5133856044629309,-78.6581688392839,2021.0,4.0,1.0,1.0,0.0,6.0
PICHINCHA,PICHINCHA,0.0373231000680165,-78.29373043324264,2021.0,0.0,1.0,1.0,0.0,2.0
PICHINCHA,PICHINCHA,0.080250656511275,-79.05042695798497,2021.0,0.0,0.0,0.0,0.0,0.0
PICHINCHA,PICHINCHA,0.1144793157641396,-79.26958391231449,2021.0,3.0,0.0,1.0,0.0,4.0
PICHINCHA,PICHINCHA,-0.2582551339978025,-78.56077684533041,2021.0,35.0,5.0,102.0,0.0,142.0
PICHINCHA,PICHINCHA,-0.127590121058965,-78.4861114280786,2021.0,1.0,0.0,0.0,0.0,1.0
PICHINCHA,PICHINCHA,-1.708393,-79.04258,2021.0,1.0,0.0,0.0,0.0,1.0
SANTA ELENA,SANTA ELENA,-2.2158994406791184,-80.98090925423882,2021.0,6.0,0.0,0.0,0.0,6.0
SANTA ELENA,SANTA ELENA,-2.2312621689687644,-80.86521392529168,2021.0,18.0,1.0,0.0,0.0,19.0
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS TSÁCHILAS,0.0030521219327159,-79.40430403742303,2021.0,3.0,1.0,1.0,0.0,5.0
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS TSÁCHILAS,-0.2713427546277402,-79.19966583950365,2021.0,50.0,2.0,13.0,1.0,66.0
SUCUMBÍOS,SUCUMBÍOS,0.1473446015748443,-77.28718583123354,2021.0,0.0,1.0,1.0,0.0,2.0
SUCUMBÍOS,SUCUMBÍOS,-0.4330979370899388,-75.71414818278659,2021.0,0.0,0.0,0.0,0.0,0.0
SUCUMBÍOS,SUCUMBÍOS,0.01593963878512,-77.37838471495319,2021.0,0.0,1.0,0.0,0.0,1.0
SUCUMBÍOS,SUCUMBÍOS,0.0026780373515408,-76.82699325019794,2021.0,23.0,1.0,4.0,0.0,28.0
SUCUMBÍOS,SUCUMBÍOS,0.0025085496886935,-76.27171503374841,2021.0,1.0,0.0,1.0,0.0,2.0
SUCUMBÍOS,SUCUMBÍOS,-0.1926656533929786,-76.64798920452397,2021.0,3.0,3.0,0.0,0.0,6.0
SUCUMBÍOS,SUCUMBÍOS,-0.051088978961963,-77.07643847194927,2021.0,0.0,0.0,0.0,0.0,0.0
TUNGURAHUA,TUNGURAHUA,-1.2630894492230418,-78.63451526563072,2021.0,13.0,1.0,2.0,0.0,16.0
TUNGURAHUA,TUNGURAHUA,-1.3973927399623294,-78.4275028532831,2021.0,1.0,0.0,0.0,0.0,1.0
TUNGURAHUA,TUNGURAHUA,-1.355812239172291,-78.61721455222973,2021.0,0.0,0.0,0.0,0.0,0.0
TUNGURAHUA,TUNGURAHUA,-1.418029620771203,-78.67015962769493,2021.0,0.0,1.0,0.0,0.0,1.0
TUNGURAHUA,TUNGURAHUA,-1.3139310569926228,-78.50790537599015,2021.0,0.0,0.0,0.0,0.0,0.0
TUNGURAHUA,TUNGURAHUA,-1.382892452299482,-78.61015926973265,2021.0,0.0,0.0,0.0,0.0,0.0
TUNGURAHUA,TUNGURAHUA,-1.3274599,-78.52739509999999,2021.0,1.0,1.0,0.0,0.0,2.0
TUNGURAHUA,TUNGURAHUA,-1.1766072263904148,-78.54653150185389,2021.0,1.0,0.0,0.0,0.0,1.0
TUNGURAHUA,TUNGURAHUA,-1.3484243702715426,-78.67038662702872,2021.0,0.0,0.0,0.0,0.0,0.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-3.9492184675927375,-78.79356945679031,2021.0,0.0,0.0,0.0,0.0,0.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-4.882249859739444,-79.20135657965258,2021.0,0.0,0.0,0.0,0.0,0.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-3.629560710029823,-78.58886768003977,2021.0,0.0,1.0,0.0,0.0,1.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-4.464006326468896,-78.84069750195852,2021.0,3.0,0.0,0.0,0.0,3.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-4.65329794104013,-79.13231665472016,2021.0,0.0,0.0,0.0,0.0,0.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-3.93280616913619,-78.6767847255149,2021.0,0.0,0.0,0.0,0.0,0.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-3.831277004206561,-78.76469970560873,2021.0,0.0,0.0,0.0,0.0,0.0
ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,-4.069094467843876,-78.95728545712517,2021.0,0.0,1.0,1.0,0.0,2.0
ZONAS NO DELIMITADAS,ZONAS NO DELIMITADAS,-2.344428,-79.3050839,2021.0,28.0,0.0,0.0,0.0,28.0
ZONAS NO DELIMITADAS,ZONAS NO DELIMITADAS,-0.6824832447025585,-79.62948625960341,2021.0,5.0,0.0,0.0,0.0,5.0
AZUAY,AZUAY,-3.0657291368388013,-79.75000991578507,2020.0,2.0,0.0,3.0,0.0,5.0
AZUAY,AZUAY,-2.9302765384659657,-78.78170201795461,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-2.9010525,-79.0198115,2020.0,13.0,3.0,7.0,0.0,23.0
AZUAY,AZUAY,-2.7872513508292784,-78.66544193443904,2020.0,0.0,0.0,1.0,0.0,1.0
AZUAY,AZUAY,-3.1622550614293936,-79.15087818190585,2020.0,0.0,0.0,1.0,0.0,1.0
AZUAY,AZUAY,-2.7706364659080207,-78.71648215454404,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-2.890754807157432,-78.78178230954325,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-2.8943068,-78.9968344,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-3.470088639386804,-79.15489798584908,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-2.8012084567100923,-78.77313267561347,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-3.2198665257207133,-79.47277760096095,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-3.149457497070057,-79.25538242942673,2020.0,0.0,0.0,0.0,0.0,0.0
AZUAY,AZUAY,-3.2780038119447497,-79.31728964925965,2020.0,0.0,1.0,1.0,0.0,2.0
AZUAY,AZUAY,-2.7993916398629204,-78.65693261981723,2020.0,0.0,0.0,1.0,0.0,1.0
AZUAY,AZUAY,-3.053253801318474,-78.79869840175796,2020.0,0.0,0.0,0.0,0.0,0.0
BOLÍVAR,BOLÍVAR,-1.6322946020928166,-79.2592588694571,2020.0,1.0,1.0,0.0,0.0,2.0
BOLÍVAR,BOLÍVAR,-1.9447734156647307,-79.0673755208863,2020.0,1.0,0.0,1.0,0.0,2.0
